"","V1"
"AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE, 2011, VIS CHANG UND BIOL E",161
"FREEMAN S, 2014, P NATL ACAD SCI USA, V111, P8410, DOI 10.1073/PNAS.1319030111",143
"THE PRESIDENT'S COUNCIL OF ADVISORS ON SCIENCE AND TECHNOLOGY, 2012, REP PRES",97
"CROWE A, 2008, CBE-LIFE SCI EDUC, V7, P368, DOI 10.1187/CBE.08-05-0024",79
"HAAK DC, 2011, SCIENCE, V332, P1213, DOI 10.1126/SCIENCE.1204820",71
"EDDY SL, 2014, CBE-LIFE SCI EDUC, V13, P453, DOI 10.1187/CBE.14-03-0050",68
"HANDELSMAN J, 2004, SCIENCE, V304, P521, DOI 10.1126/SCIENCE.1096022",67
"SMITH MK, 2008, CBE-LIFE SCI EDUC, V7, P422, DOI 10.1187/CBE.08-08-0045",65
"SEYMOUR E., 1997, TALKING LEAVING WHY",63
"SEYMOUR E, 2004, SCI EDUC, V88, P493, DOI 10.1002/SCE.10131",58
"AUCHINCLOSS LC, 2014, CBE-LIFE SCI EDUC, V13, P29, DOI 10.1187/CBE.14-01-0004",57
"HENDERSON C, 2011, J RES SCI TEACH, V48, P952, DOI 10.1002/TEA.20439",57
"HAKE RR, 1998, AM J PHYS, V66, P64, DOI 10.1119/1.18809",56
"KNIGHT JENNIFER K, 2005, CELL BIOL EDUC, V4, P298, DOI 10.1187/05-06-0082",55
"RUSSELL SH, 2007, SCIENCE, V316, P548, DOI 10.1126/SCIENCE.1140384",54
"FREEMAN SCOTT, 2007, CBE LIFE SCI EDUC, V6, P132, DOI 10.1187/CBE.06-09-0194",53
"NATIONAL RESEARCH COUNCIL (NRC), 2003, BIO2010 TRANSF UND E",53
"BROWNELL SE, 2012, CBE-LIFE SCI EDUC, V11, P339, DOI 10.1187/CBE.12-09-0163",52
"HUNTER AB, 2007, SCI EDUC, V91, P36, DOI 10.1002/SCE.20173",52
"EBERT-MAY D, 2011, BIOSCIENCE, V61, P550, DOI 10.1525/BIO.2011.61.7.9",51
