"","Description","Results"
"1","MAIN INFORMATION ABOUT DATA",""
"2","Timespan","2010:2019"
"3","Sources (Journals, Books, etc)","1"
"4","Documents","708"
"5","Average years from publication","4.97"
"6","Average citations per documents","14.12"
"7","Average citations per year per doc","2.044"
"8","References","18276"
"9","DOCUMENT TYPES",""
"10","article","656"
"11","correction","18"
"12","letter","30"
"13","review","4"
"14","DOCUMENT CONTENTS",""
"15","Keywords Plus (ID)","983"
"16","Author's Keywords (DE)","0"
"17","AUTHORS",""
"18","Authors","2295"
"19","Author Appearances","3255"
"20","Authors of single-authored documents","59"
"21","Authors of multi-authored documents","2236"
"22","AUTHORS COLLABORATION",""
"23","Single-authored documents","70"
"24","Documents per Author","0.308"
"25","Authors per Document","3.24"
"26","Co-Authors per Documents","4.6"
"27","Collaboration Index","3.5"
"28","",""
