Text,Time
PEDAGOGICAL CONTENT KNOWLEDGE; MATHEMATICS; SCIENCE; ACHIEVEMENT;;CONCEPTIONS; IMPACT; PATTERNS; BELIEFS; TOOL,2019
EVOLUTION; TELEOLOGY; SCIENCE; ANTHROPOMORPHISM; ESSENTIALISM;;KNOWLEDGE; EDUCATION; EXPLANATION; ANALOGIES; BELIEFS,2019
EDUCATION; TECHNOLOGY; DETERMINANTS; PERCEPTIONS; ENGAGEMENT,2019
UNDERGRADUATE RESEARCH EXPERIENCES,2019
INTRODUCTORY BIOLOGY; PROFESSIONAL-DEVELOPMENT; SELF-EFFICACY; MATH;ANXIETY; MATHEMATICS; INTEGRATION; TEACHERS; STUDENTS; DEFICIT,2019
SKILLS,2019
SOCIAL SUPPORT; PERSONAL MASTERY; MENTAL-HEALTH; MOTIVATION;;ACHIEVEMENT; AUTONOMY; OPTIMISM; VALIDATION; DISTRESS; GENDER,2019
GRADUATE-STUDENTS; INTERNATIONAL STUDENTS; NEXT-GENERATION;;SOCIALIZATION; PERCEPTIONS; EXPERIENCES; SCIENCE; VARIABLES; NUMBER;;ATTRITION,2019
PERFORMANCE; STUDENTS; BIOLOGY; SCIENCE; ATTITUDES; TEXTBOOK,2019
UNDERGRADUATE RESEARCH EXPERIENCES; PROFESSIONAL-DEVELOPMENT;;SELF-EFFICACY; RESEARCH PROGRAMS; TEACHERS; STUDENTS; FACULTY;;ACHIEVEMENT; KNOWLEDGE; OUTCOMES,2019
MATHEMATICS; EXPERIENCES; ELEMENTARY; TEACHERS; CULTURE; PARTICIPATION;;CONSTRUCTION; TRAJECTORIES; CULTIVATION; STEREOTYPE,2019
PROTEGE PERCEPTIONS; FACULTY; WORK; CAREER; CONSEQUENCES; STUDENTS;;QUALITY; COLLEGE,2019
BIOLOGY TEACHERS; SCIENTIFIC VIEWS; COLLEGE-STUDENTS; BELIEFS; SCIENCE;;RELIGION; SCHOOLS; IMPACT,2019
SELF-EFFICACY; SCIENCE; EXPECTATIONS; MINORITIES; ENGAGEMENT; PEER,2019
COGNITIVE ARCHITECTURE; INSTRUCTIONAL-DESIGN; SELF-EXPLANATIONS;;SCIENCE; BIOLOGY; THINKING; KNOWLEDGE; FRAMEWORK; LOAD,2019
RETRIEVAL PRACTICE; CLASSROOM; LANGUAGE; SCIENCE; TERMINOLOGY;;RETENTION; TESTS,2019
EDUCATION; SCIENCE; UNIVERSITIES; FACULTY,2019
NATURAL-SELECTION; MODERN GENETICS; SCIENCE; VALIDATION; PHYSIOLOGY;;INDUCTION; CHEMISTRY; ENACTMENT; EDUCATION,2019
STUDENT PERFORMANCE; ORGANIC-CHEMISTRY; COLLEGE; SENSE; MINORITY;;SCIENCE; IMPLEMENTATION; INTERVENTION; ACHIEVEMENT; PERCEPTIONS,2019
SCIENCE; CLASSROOM; BIOLOGY; PERFORMANCE; KNOWLEDGE; TEACHER;;ACHIEVEMENT; PHYLOGENIES; ENGAGEMENT; STRATEGIES,2019
MISCONCEPTIONS; INVENTORY,2019
STEREOTYPE THREAT; COLLEGE SCIENCE; STUDENTS; CLASSROOM; GENDER;;PERFORMANCE,2019
PROJECT OWNERSHIP; STUDENT; INQUIRY; SCIENCE; CLASSROOM; FACULTY;;EDUCATION; TEACHERS; PERCEPTIONS; INTEGRATION,2019
SCIENCE; PERFORMANCE; ACHIEVEMENT; MODERATE,2019
OPEN EDUCATIONAL RESOURCES; PERCEPTIONS; STUDENT; ADOPTION,2019
EDUCATION; ANATOMY,2019
CONCEPTUAL CHANGE; THINKING; MISCONCEPTIONS; MECHANISMS; DISCOURSE;;SCIENCE; MODELS; HEAT,2019
IMPROVES PERFORMANCE; SELF-ASSESSMENT; MEMORY; PEER; FEEDBACK;;RETENTION; EXAMPLES; JUDGMENTS; BENEFITS; VALIDITY,2019
PROTEGE PERCEPTIONS; COLLEGE-STUDENTS; SELF-EFFICACY; PARTICIPATION;;INTERVENTIONS; EXPERIENCES; COMMITMENT; INTERESTS; BEHAVIOR; MAJORS,2019
SOCIAL COGNITIVE PREDICTORS; CAMPUS RACIAL CLIMATE; STEREOTYPE THREAT;;ACHIEVEMENT GOALS; SELF-AFFIRMATION; TASK VALUES; FIT INDEXES; IDENTITY;;COLLEGE; PERFORMANCE,2019
COGNITIVE TEST ANXIETY; PSYCHOLOGICAL INTERVENTIONS; STEREOTYPE THREAT;;ACHIEVEMENT GAP; MULTIPLE-CHOICE; PERFORMANCE; SCIENCE; REDUCE; IMPACT;;MIND,2019
COMPREHENSION; PHYSICS; VISUALIZATION; STUDENTS; NOVICE,2019
SELF-DETERMINATION THEORY; SOCIOSCIENTIFIC ISSUES; SITUATIONAL;MOTIVATION; SCIENCE-EDUCATION; SCIENTIFIC ISSUES; ACHIEVEMENT;;COMPETENCE; CHEMISTRY; KNOWLEDGE; LITERACY,2019
UNDERGRADUATE RESEARCH EXPERIENCES; STUDENT CHARACTERISTICS; PROJECT;OWNERSHIP; HIGHER-EDUCATION; SCIENCE; CLASSROOM; COLLEGE; ALTERNATIVES;;REGRESSION; PIPELINE,2019
SELF-EFFICACY; STUDENTS; SUPPORT; STRESS; PEER; PREDICTORS; COMMUNITY;;IDENTITY; VALUES; SCHOOL,2019
EXPERIENCES; MODEL,2019
NA,2019
LEARNING PROGRESSION; NATURAL-SELECTION,2019
EXPLANATIONS; KNOWLEDGE; MODELS,2019
PERFORMANCE; ENGAGEMENT; PERSISTENCE; FEEDBACK; SCIENCE; SCHOOL; DEEP,2019
COMPREHENSION; KNOWLEDGE; TESTS,2019
SELF-EFFICACY; SCIENCE; CHALLENGES; BELIEFS,2019
KNOWLEDGE CONSTRUCTION; SOCIAL CONSTRUCTIVISM; SEATING ARRANGEMENTS;;DISCURSIVE IDENTITY; HELPING-BEHAVIOR; NETWORK ANALYSIS; CLASSROOM;;SCIENCE; ENGAGEMENT; DISCOURSE,2019
WORK; EXPLORATION; CONSTRUCT; EDUCATION; BENEFITS; JOB,2019
SELF-DETERMINATION THEORY; SCHOOL-STUDENTS; MODIFIED FOOD; OUTCOMES;;BIOTECHNOLOGY; RELATEDNESS; PERSPECTIVE; COMPETENCE; MOTIVATION;;CURRICULUM,2019
BENEFITS; FEEDBACK,2019
UNDERGRADUATE RESEARCH; GENDER-DIFFERENCES; COLLEGE-STUDENTS;;ACADEMIC-SUCCESS; SCIENCE; SCIENTISTS; IDENTITY; RACE; EXPERIENCES; NEED,2019
STEREOTYPE THREAT; ENGAGEMENT; CLASSROOM; STUDENTS; MATH,2019
SCIENCE; CURRICULUM; KNOWLEDGE; FRAMEWORK; INSTRUCTION,2019
WRITING-TO-LEARN; SELF-EFFICACY; EPISTEMOLOGICAL BELIEFS; PERSONAL;EPISTEMOLOGY; SCIENCE-EDUCATION; COLLEGE-STUDENTS; UNIVERSITY;;ACHIEVEMENT; MODEL; MOTIVATION,2019
TEACHER COMMUNICATION BEHAVIORS; ACADEMIC-PERFORMANCE; COLLEGE-STUDENTS;;ACHIEVEMENT EMOTIONS; CLASSROOM; STRESS; PARTICIPATION; ENGAGEMENT;;MOTIVATION; SCIENCE,2019
FACULTY; COGNITION; POLICY; MODEL; MATH,2019
SCIENCE; BIOLOGY; INFORMATION; STATISTICS; CLASSROOM; FRAMEWORK;;1ST-HAND,2019
PROTEGE PERCEPTIONS; STUDENTS; CAREER; PERSPECTIVE; EXPERIENCES;;SCHOLARS; BENEFITS; FACULTY; VALUES; SKILLS,2019
