"","V1"
"FREEMAN S, 2014, P NATL ACAD SCI USA, V111, P8410, DOI 10.1073/PNAS.1319030111",376
"ANONYMOUS, 2011, VISION AND CHANGE IN UNDERGRADUATE BIOLOGY EDUCATION: A CALL TO ACTION",222
"AUCHINCLOSS LC, 2014, CBE-LIFE SCI EDUC, V13, P29, DOI 10.1187/CBE.14-01-0004",204
"BAUERLE C., 2011, VISION AND CHANGE IN UNDERGRADUATE BIOLOGY EDUCATION. A CALL TO ACTION",193
"PRESIDENT'S COUNCIL OF ADVISORS ON SCIENCE AND TECHNOLOGY, 2012, ENGAGE TO EXCEL: PRODUCING ONE MILLION ADDITIONAL COLLEGE GRADUATES WITH DEGREES IN SCIENCE, TECHNOLOGY, ENGINEERING, AND MATHEMATICS",141
"CROWE A, 2008, CBE-LIFE SCI EDUC, V7, P368, DOI 10.1187/CBE.08-05-0024",136
"LOPATTO DAVID, 2007, CBE LIFE SCI EDUC, V6, P297, DOI 10.1187/CBE.07-06-0039",135
"RUSSELL SH, 2007, SCIENCE, V316, P548, DOI 10.1126/SCIENCE.1140384",133
"HANDELSMAN J, 2004, SCIENCE, V304, P521, DOI 10.1126/SCIENCE.1096022",127
"MICHAEL J, 2006, ADV PHYSIOL EDUC, V30, P159, DOI 10.1152/ADVAN.00053.2006",127
"HAAK DC, 2011, SCIENCE, V332, P1213, DOI 10.1126/SCIENCE.1204820",126
"SEYMOUR E, 2004, SCI EDUC, V88, P493, DOI 10.1002/SCE.10131",124
"BANGERA G, 2014, CBE-LIFE SCI EDUC, V13, P602, DOI 10.1187/CBE.14-06-0099",122
"ANONYMOUS, 1996, NAT SCI ED STAND",120
"NATIONAL RESEARCH COUNCIL (NRC), 2013, NEXT GENERATION SCIENCE STANDARDS: FOR STATES, BY STATES",108
"NATIONAL RESEARCH COUNCIL, 2003, BIO2010: TRANSFORMING UNDERGRADUATE EDUCATION FOR FUTURE RESEARCH BIOLOGISTS",106
"HUNTER AB, 2007, SCI EDUC, V91, P36, DOI 10.1002/SCE.20173",104
"EDDY SL, 2014, CBE-LIFE SCI EDUC, V13, P453, DOI 10.1187/CBE.14-03-0050",103
"HAKE RR, 1998, AM J PHYS, V66, P64, DOI 10.1119/1.18809",95
"POURNELLE G. H., 1953, JOURNAL OF MAMMALOGY, V34, P133, DOI 10.1890/0012-9658(2002)0831421:SDEOLC2.0.CO",95
