"","Paper         ","DOI","TC","TCperYear","NTC"
"1","AUCHINCLOSS LC, 2014, CBE-LIFE SCI EDUC","10.1187/cbe.14-01-0004","367","40.8","10.51"
"2","JENSEN JL, 2015, CBE-LIFE SCI EDUC     ","10.1187/cbe.14-08-0129","307","38.4"," 8.80"
"3","BROWNELL SE, 2012, CBE-LIFE SCI EDUC   ","10.1187/cbe.12-09-0163","231","21.0"," 7.99"
"4","EDDY SL, 2014, CBE-LIFE SCI EDUC       ","10.1187/cbe.14-03-0050","217","24.1"," 6.22"
"5","BANGERA G, 2014, CBE-LIFE SCI EDUC     ","10.1187/cbe.14-06-0099","205","22.8"," 5.87"
"6","ANDREWS TM, 2011, CBE-LIFE SCI EDUC    ","10.1187/cbe.11-07-0061","199","16.6"," 5.72"
"7","MAHER JM, 2013, CBE-LIFE SCI EDUC      ","10.1187/cbe.13-04-0082","189","18.9"," 8.14"
"8","TANNER KD, 2012, CBE-LIFE SCI EDUC     ","10.1187/cbe.12-03-0033","189","17.2"," 6.54"
"9","SMITH MK, 2013, CBE-LIFE SCI EDUC      ","10.1187/cbe.13-08-0154","183","18.3"," 7.89"
"10","MORAVEC M, 2010, CBE-LIFE SCI EDUC     ","10.1187/cbe.10-04-0063","154","11.8"," 6.56"
