"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","BROWNELL SE","28","TANNER KD  ","11.96"
"2","TANNER KD  ","27","DOLAN EL   ","11.32"
"3","DOLAN EL   ","26","ALLEN D    ","11.14"
"4","KNIGHT JK  ","24","EDDY SL    "," 8.92"
"5","SMITH MK   ","19","STARK LA   "," 7.17"
"6","EDDY SL    ","18","BROWNELL SE"," 7.06"
"7","ALLEN D    ","12","KNIGHT JK  "," 6.40"
"8","ANDREWS TC ","12","[ANONYMOUS]"," 5.00"
"9","COUCH BA   ","12","SMITH MK   "," 4.10"
"10","STARK LA   ","11","BRAME CJ   "," 3.83"
