,AFF,AFF,Freq,OPEID,OPEID,Issues
240,ALFRED UNIV,ALFRED UNIVERSITY,2,26680,26680,
65,AUBURN UNIV,AUBURN UNIVERSITY,8,00100900,100900,
245,BIRMINGHAM SOUTHERN COLL,BIRMINGHAM SOUTHERN COLLEGE,2,00101200,101200,
588,TUSKEGEE UNIV,TUSKEGEE UNIVERSITY,1,00105000,105000,
44,UNIV ARIZONA,UNIVERSITY OF ARIZONA,12,00108300,108300,
339,ARKANSAS TECH UNIV,ARKANSAS TECH UNIVERSITY,1,00108900,108900,
590,UNIV ARKANSAS,UNIVERSITY OF ARKANSAS,1,00110800,110800,
165,CALIF LUTHERAN UNIV,CALIFORNIA LUTHERAN UNIVERSITY,3,00113300,113300,
126,CALIF STATE UNIV FULLERTON,CALIFORNIA STATE UNIVERSITY-FULLERTON,4,00113700,113700,
248,CALIF STATE UNIV LONG BEACH,CALIFORNIA STATE UNIVERSITY-LONG BEACH,2,00113900,113900,
167,CALIF STATE UNIV LOS ANGELES,CALIFORNIA STATE UNIVERSITY-LOS ANGELES,3,00114000,114000,
370,CALIF STATE UNIV SAN BERNARDINO,CALIFORNIA STATE UNIVERSITY-SAN BERNARDINO,1,00114200,114200,
86,CALIF POLYTECH STATE UNIV SAN LUIS OBISPO,CALIFORNIA POLYTECH STATE UNIVERSITY-SAN LUIS OBISPO,6,114300,114300,
166,CALIF STATE UNIV CHICO,CALIFORNIA STATE UNIVERSITY-CHICO,3,00114600,114600,
367,CALIF STATE UNIV FRESNO,CALIFORNIA STATE UNIVERSITY-FRESNO,1,00114700,114700,
369,CALIF STATE UNIV SACRAMENTO,CALIFORNIA STATE UNIVERSITY-SACRAMENTO,1,00115000,115000,
38,SAN DIEGO STATE UNIV,SAN DIEGO STATE UNIVERSITY,14,00115100,115100,
250,CALIF STATE UNIV NORTHRIDGE,CALIFORNIA STATE UNIVERSITY-NORTHRIDGE,2,00115300,115300,
6,SAN FRANCISCO STATE UNIV,SAN FRANCISCO STATE UNIVERSITY,48,00115400,115400,
299,SAN JOSE STATE UNIV,SAN JOSE STATE UNIVERSITY,2,00115500,115500,
105,CALIF STATE UNIV STANISLAUS,CALIFORNIA STATE UNIVERSITY-STANISLAUS,5,00115700,115700,
380,CHABOT COLL,CHABOT COLLEGE,1,00116200,116200,
383,CITRUS COLL,CITRUS COLLEGE,1,00116600,116600,
171,CLAREMONT MCKENNA COLL,CLAREMONT MCKENNA COLLEGE,3,00117000,117000,
89,HARVEY MUDD COLL,HARVEY MUDD COLLEGE,6,00117100,117100,
293,PITZER COLL,PITZER COLLEGE,2,00117200,117200,
76,POMONA COLL,POMONA COLLEGE,7,00117300,117300,
300,SCRIPPS COLL,SCRIPPS COLLEGE,2,00117400,117400,
108,HOLY NAMES UNIV,HOLY NAMES UNIVERSITY,5,00118300,118300,
416,DIABLO VALLEY COLL,DIABLO VALLEY COLLEGE,1,00119100,119100,
180,FOOTHILL COLL,FOOTHILL COLLEGE,3,00119900,119900,
221,UNIV LA VERNE,UNIVERSITY OF LA VERNE,3,00121600,121600,
487,LOMA LINDA UNIV,LOMA LINDA UNIVERSITY,1,00121800,121800,
535,PALOMAR COLL,PALOMAR COLLEGE,1,00126000,126000,
117,POINT LOMA NAZARENE UNIV,POINT LOMA NAZARENE UNIVERSITY,5,00126200,126200,
477,LANEY COLL,LANEY COLLEGE,1,00126600,126600,
502,MERRITT COLL,MERRITT COLLEGE,1,00126700,126700,
43,STANFORD UNIV,STANFORD UNIVERSITY,12,00130500,130500,
45,UNIV CALIF BERKELEY,UNIVERSITY OF CALIFORNIA-BERKELEY,12,00131200,131200,
31,UNIV CALIF DAVIS,UNIVERSITY OF CALIFORNIA-DAVIS,17,00131300,131300,
29,UNIV CALIF IRVINE,UNIVERSITY OF CALIFORNIA-IRVINE,18,00131400,131400,
9,UNIV CALIF LOS ANGELES,UNIVERSITY OF CALIFORNIA-LOS ANGELES,40,00131500,131500,
217,UNIV CALIF RIVERSIDE,UNIVERSITY OF CALIFORNIA-RIVERSIDE,3,00131600,131600,
17,UNIV CALIF SAN DIEGO,UNIVERSITY OF CALIFORNIA-SAN DIEGO,27,00131700,131700,
39,UNIV CALIF SAN FRANCISCO,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,14,00131900,131900,
146,UNIV CALIF SANTA BARBARA,UNIVERSITY OF CALIFORNIA-SANTA BARBARA,4,00132000,132000,
594,UNIV CALIF SANTA CRUZ,UNIVERSITY OF CALIFORNIA-SANTA CRUZ,1,00132100,132100,
239,ADAMS STATE UNIV,ADAMS STATE UNIVERSITY,2,134500,134500,
80,UNIV NORTHERN COLORADO,UNIVERSITY OF NORTHERN COLORADO,7,00134900,134900,
147,UNIV COLORADO BOULDER,UNIVERSITY OF COLORADO BOULDER,4,00137000,137000,
539,QUINNIPIAC UNIV,QUINNIPIAC UNIVERSITY,1,00140200,140200,
586,TRINITY COLL,TRINITY COLLEGE,1,00141400,141400,
96,UNIV CONNECTICUT,UNIVERSITY OF CONNECTICUT,6,00141700,141700,
605,UNIV HARTFORD,UNIVERSITY OF HARTFORD,1,00142200,142200,
234,WESLEYAN UNIV,WESLEYAN UNIVERSITY,3,00142400,142400,
20,YALE UNIV,YALE UNIVERSITY,25,00142600,142600,
24,UNIV DELAWARE,UNIVERSITY OF DELAWARE,22,00143100,143100,
71,GALLAUDET UNIV,GALLAUDET UNIVERSITY,7,00144300,144300,
182,GEORGE WASHINGTON UNIV,GEORGE WASHINGTON UNIVERSITY,3,00144400,144400,
54,GEORGETOWN UNIV,GEORGETOWN UNIVERSITY,9,00144500,144500,
349,BARRY UNIV,BARRY UNIVERSITY,1,00146600,146600,
432,FLORIDA SOUTHWESTERN STATE COLL,FLORIDA SOUTHWESTERN STATE COLLEGE,1,00147700,147700,
546,ROLLINS COLL,ROLLINS COLLEGE,1,00151500,151500,
555,SANTA FE COLL,SANTA FE COLLEGE,1,00151900,151900,
59,UNIV FLORIDA,UNIVERSITY OF FLORIDA,9,00153500,153500,
152,UNIV MIAMI,UNIVERSITY OF MIAMI,4,00153600,153600,
124,AGNES SCOTT COLL,AGNES SCOTT COLLEGE,4,154200,154200,
16,EMORY UNIV,EMORY UNIVERSITY,28,00156400,156400,
88,GEORGIA STATE UNIV,GEORGIA STATE UNIVERSITY,6,00157400,157400,
473,KENNESAW STATE UNIV,KENNESAW STATE UNIVERSITY,1,00157700,157700,
242,AUGUSTA UNIV,AUGUSTA UNIVERSITY,2,00157900,157900,
113,MOREHOUSE COLL,MOREHOUSE COLLEGE,5,00158200,158200,
325,UNIV NORTH GEORGIA,UNIVERSITY OF NORTH GEORGIA,2,00158500,158500,
570,SOUTH GEORGIA STATE COLL,SOUTH GEORGIA STATE COLLEGE,1,00159200,159200,
77,SPELMAN COLL,SPELMAN COLLEGE,7,00159400,159400,
3,UNIV GEORGIA,UNIVERSITY OF GEORGIA,77,00159800,159800,
330,VALDOSTA STATE UNIV,VALDOSTA STATE UNIVERSITY,2,00159900,159900,
469,KAPIOLANI COMMUNITY COLL,KAPIOLANI COMMUNITY COLLEGE,1,00161300,161300,
267,IDAHO STATE UNIV,IDAHO STATE UNIVERSITY,2,00162000,162000,
246,BRADLEY UNIV,BRADLEY UNIVERSITY,2,00164100,164100,
423,EASTERN ILLINOIS UNIV,EASTERN ILLINOIS UNIVERSITY,1,00167400,167400,
425,ELMHURST COLL,ELMHURST COLLEGE,1,00167600,167600,
