"","AFF","Freq"
"1","UNIVERSITY OF CALIFORNIA SYSTEM",179
"2","CALIFORNIA STATE UNIVERSITY SYSTEM",127
"3","UNIVERSITY SYSTEM OF GEORGIA",118
"4","UNIVERSITY OF WISCONSIN SYSTEM",107
"5","UNIVERSITY OF COLORADO SYSTEM",106
"6","UNIVERSITY OF COLORADO BOULDER",96
"7","MICHIGAN STATE UNIVERSITY",95
"8","UNIVERSITY OF WISCONSIN MADISON",92
"9","UNIVERSITY OF WASHINGTON",88
"10","UNIVERSITY OF GEORGIA",87
"11","STATE UNIVERSITY SYSTEM OF FLORIDA",84
"12","UNIVERSITY OF WASHINGTON SEATTLE",71
"13","UNIVERSITY OF TEXAS SYSTEM",65
"14","ARIZONA STATE UNIVERSITY",62
"15","ARIZONA STATE UNIVERSITY-TEMPE",62
"16","SAN FRANCISCO STATE UNIVERSITY",58
"17","UNIVERSITY OF CALIFORNIA LOS ANGELES",57
"18","UNIVERSITY OF MINNESOTA SYSTEM",57
"19","UNIVERSITY OF NORTH CAROLINA",50
"20","UNIVERSITY OF MINNESOTA TWIN CITIES",49
"21","UNIVERSITY SYSTEM OF MARYLAND",48
"22","WASHINGTON UNIVERSITY (WUSTL)",46
"23","PURDUE UNIVERSITY",42
"24","PURDUE UNIVERSITY SYSTEM",42
"25","PURDUE UNIVERSITY WEST LAFAYETTE CAMPUS",42
"26","FLORIDA INTERNATIONAL UNIVERSITY",41
"27","UTAH SYSTEM OF HIGHER EDUCATION",40
"28","UNIVERSITY OF NEBRASKA SYSTEM",37
"29","EMORY UNIVERSITY",33
"30","NORTH DAKOTA STATE UNIVERSITY FARGO",33
"31","UNIVERSITY OF TENNESSEE SYSTEM",33
"32","CLAREMONT COLLEGES",32
"33","UNIVERSITY OF NEBRASKA LINCOLN",31
"34","DUKE UNIVERSITY",30
"35","UNIVERSITY OF BRITISH COLUMBIA",30
"36","UNIVERSITY OF CALIFORNIA SAN DIEGO",30
"37","VANDERBILT UNIVERSITY",30
"38","UNIVERSITY OF TENNESSEE KNOXVILLE",29
"39","YALE UNIVERSITY",29
"40","STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM",27
"41","TUFTS UNIVERSITY",27
"42","UNIVERSITY OF CALIFORNIA IRVINE",27
"43","UNIVERSITY OF MARYLAND COLLEGE PARK",26
"44","UNIVERSITY OF TEXAS AUSTIN",26
"45","BRIGHAM YOUNG UNIVERSITY",25
"46","UNIVERSITY OF MAINE SYSTEM",25
"47","UNIVERSITY OF TEXAS EL PASO",25
"48","UNIVERSITY OF MAINE ORONO",24
"49","UNIVERSITY OF DELAWARE",23
"50","UNIVERSITY OF UTAH",23
"51","CITY UNIVERSITY OF NEW YORK (CUNY) SYSTEM",22
"52","CORNELL UNIVERSITY",20
"53","MONTANA STATE UNIVERSITY BOZEMAN",20
"54","MONTANA STATE UNIVERSITY SYSTEM",20
"55","PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE)",20
"56","STANFORD UNIVERSITY",20
"57","UNIVERSITY OF CALIFORNIA DAVIS",20
"58","SAN DIEGO STATE UNIVERSITY",19
"59","UNIVERSITY OF SOUTH FLORIDA",19
"60","DAVIDSON COLLEGE",18
"61","HARVARD UNIVERSITY",18
"62","HOWARD HUGHES MEDICAL INSTITUTE",18
"63","NATIONAL SCIENCE FOUNDATION (NSF)",18
"64","POMONA COLLEGE",18
"65","UNIVERSITY OF NORTH CAROLINA CHAPEL HILL",18
"66","WASHINGTON STATE UNIVERSITY",17
"67","ROCHESTER INSTITUTE OF TECHNOLOGY",16
"68","UNIVERSITY OF CALIFORNIA SAN FRANCISCO",16
"69","VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY",16
"70","UNIVERSITY OF ARIZONA",15
"71","UNIVERSITY OF MARYLAND BALTIMORE COUNTY",15
"72","IOWA STATE UNIVERSITY",14
"73","PENNSYLVANIA STATE SYSTEM OF HIGHER EDUCATION (PASSHE)",14
"74","UNIVERSITY OF CALIFORNIA BERKELEY",14
"75","UNIVERSITY OF MICHIGAN",14
"76","UNIVERSITY OF MICHIGAN SYSTEM",14
"77","UNIVERSITY OF TORONTO",14
"78","MCGILL UNIVERSITY",13
"79","MIDDLE TENNESSEE STATE UNIVERSITY",13
"80","NATIONAL ACADEMIES OF SCIENCES, ENGINEERING AND MEDICINE",13
"81","UNIVERSITY OF WASHINGTON BOTHELL",13
"82","AUBURN UNIVERSITY",12
"83","AUBURN UNIVERSITY SYSTEM",12
"84","INDIANA UNIVERSITY OF PENNSYLVANIA",12
"85","LOUISIANA STATE UNIVERSITY SYSTEM",12
"86","STATE UNIVERSITY OF NEW YORK (SUNY) STONY BROOK",12
"87","UNIVERSITY OF MASSACHUSETTS SYSTEM",12
"88","UNIVERSITY OF NEW MEXICO",12
"89","UNIVERSITY OF PITTSBURGH",12
"90","BROWN UNIVERSITY",11
"91","CITY COLLEGE OF NEW YORK (CUNY)",11
"92","NATIONAL INSTITUTES OF HEALTH (NIH) - USA",11
"93","NORTH CAROLINA AANDT STATE UNIVERSITY",11
"94","NORTHWESTERN UNIVERSITY",11
"95","OHIO STATE UNIVERSITY",11
"96","PORTLAND STATE UNIVERSITY",11
"97","SAINT LOUIS UNIVERSITY",11
"98","TEXAS AANDM UNIVERSITY SYSTEM",11
"99","UNIVERSITY OF PUERTO RICO",11
"100","UNIVERSITY OF ROCHESTER",11
"101","CARLETON COLLEGE",10
"102","GEORGETOWN UNIVERSITY",10
"103","GEORGIA INSTITUTE OF TECHNOLOGY",10
"104","JOHNS HOPKINS UNIVERSITY",10
"105","NORTH CAROLINA STATE UNIVERSITY",10
"106","UNIVERSITY OF CONNECTICUT",10
"107","UTAH VALLEY UNIVERSITY",10
"108","WEST VIRGINIA UNIVERSITY",10
"109","CALIFORNIA POLYTECHNIC STATE UNIVERSITY SAN LUIS OBISPO",9
"110","FEINBERG SCHOOL OF MEDICINE",9
"111","JAMES MADISON UNIVERSITY",9
"112","UNIVERSITY OF FLORIDA",9
"113","UNIVERSITY OF NEW HAMPSHIRE",9
"114","UNIVERSITY OF NORTHERN COLORADO",9
"115","UNIVERSITY SYSTEM OF NEW HAMPSHIRE",9
"116","WESTERN MICHIGAN UNIVERSITY",9
"117","NORTHEASTERN UNIVERSITY",8
"118","OBERLIN COLLEGE",8
"119","OREGON STATE UNIVERSITY",8
"120","PENNSYLVANIA STATE UNIVERSITY",8
"121","TEXAS AANDM UNIVERSITY COLLEGE STATION",8
"122","UNIVERSITY OF ALABAMA SYSTEM",8
"123","UNIVERSITY OF KENTUCKY",8
"124","UNIVERSITY OF MISSOURI SYSTEM",8
"125","UNIVERSITY OF NORTH CAROLINA SCHOOL OF MEDICINE",8
