"","PY","TI"
"STANGER-HALL KF, 2011, ",2011,"TEACHING STUDENTS HOW TO STUDY: A WORKSHOP ON INFORMATION PROCESSING AND SELF-TESTING HELPS STUDENTS LEARN"
"GOUVEA J, 2018, ",2018,"ALTERNATIVE PERSPECTIVES ON STUDENTS' REASONING ABOUT EMERGENT PROCESSES"
"ORNDORF HC, 2022, ",2022,"OPENING THE PATHWAY: AN EXAMPLE OF UNIVERSAL DESIGN FOR LEARNING AS A GUIDE TO INCLUSIVE TEACHING PRACTICES"
"MULNIX A, 2012, ",2012,"USING LEARNING PRINCIPLE IN FACULTY DEVELOPMENT WORKSHOPS"
"SADLER PM, 2013, ",2013,"ASSESSING THE LIFE SCIENCE KNOWLEDGE OF STUDENTS AND TEACHERS REPRESENTED BY THE K-8 NATIONAL SCIENCE STANDARDS"
"MCFARLAND JL, 2017, ",2017,"DEVELOPMENT AND VALIDATION OF THE HOMEOSTASIS CONCEPT INVENTORY"
"ARNESON JB, 2018, ",2018,"VISUAL LITERACY IN BLOOM: USING BLOOM'S TAXONOMY TO SUPPORT VISUAL LEARNING SKILLS"
"PERERA V, 2017, ",2017,"STUDENTS IN FULLY ONLINE PROGRAMS REPORT MORE POSITIVE ATTITUDES TOWARD SCIENCE THAN STUDENTS IN TRADITIONAL, IN-PERSON PROGRAMS"
"MAGANA AJ, 2014, ",2014,"A SURVEY OF SCHOLARLY LITERATURE DESCRIBING THE FIELD OF BIOINFORMATICS EDUCATION AND BIOINFORMATICS EDUCATIONAL RESEARCH"
"ABRAHAM JK, 2012, ",2012,"SHORT LESSON PLAN ASSOCIATED WITH INCREASED ACCEPTANCE OF EVOLUTIONARY THEORY AND POTENTIAL CHANGE IN THREE ALTERNATE CONCEPTIONS OF MACROEVOLUTION IN UNDERGRADUATE STUDENTS"
"JENSEN JL, 2015, ",2015,"IMPROVEMENTS FROM A FLIPPED CLASSROOM MAY SIMPLY BE THE FRUITS OF ACTIVE LEARNING"
"CARPENTER SK, 2017, ",2017,"STUDENTS' USE OF OPTIONAL ONLINE REVIEWS AND ITS RELATIONSHIP TO SUMMATIVE ASSESSMENT OUTCOMES IN INTRODUCTORY BIOLOGY"
